,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABSLFC,FC,ProteinSymbol
0,MAP_3364c,6832.6737181763,3.16199108995401,0.0919633914724131,34.3831500701291,4.50339988268469e-259,1.92070004996502e-255,3.16199108995401,8.95064152919226,Hypothetical Protein
1,MAP_2152c,2262.99446617177,-7.92824810346699,0.279184201519897,-28.3979109860267,2.1458680193015898e-177,4.57606355116065e-174,7.92824810346699,-243.579364022928,Hypothetical Protein
2,MAP_2727,4828.37119818138,6.40034612363792,0.233511750229081,27.4090966187313,2.13669151858493e-165,3.03766310892157e-162,6.40034612363792,84.4687691516594,Hypothetical Protein
3,MAP_1668c,3830.66887736263,-2.89517383103882,0.109866106760225,-26.3518378543925,4.8894303257312e-153,5.2133550848109e-150,2.89517383103882,-7.43933585616118,katG
4,MAP_2257,1629.72418517267,-6.15656651139843,0.243991679765056,-25.2326903824208,1.7543261117784e-140,1.49644017334698e-137,6.15656651139843,-71.3364002298264,Hypothetical Protein
5,MAP_2722c,2183.69038604387,4.12650342071808,0.167157745009212,24.6862831302891,1.5014656287389898e-134,1.06729181776196e-131,4.12650342071808,17.4663157470918,Hypothetical Protein
6,MAP_0478,3323.09314028362,2.42420245688439,0.109055685261277,22.2290332785169,1.79968324459743e-109,1.09652129117258e-106,2.42420245688439,5.3673220559672,cysS
7,MAP_2726c,7648.09344771017,5.77051254259198,0.266187520784597,21.6783736727522,3.28275804855946e-104,1.75012038463826e-101,5.77051254259198,54.5880229765068,fdxA
8,MAP_2723c,1279.8782283329,3.9859559464541,0.201599482200525,19.7716576597621,5.22313098616291e-87,2.47518373955387e-84,3.9859559464541,15.8450021070353,Hypothetical Protein
9,MAP_2724c,1510.65596656833,5.87576545490239,0.308200396640889,19.0647563044793,4.955810217305859e-81,2.11365305768095e-78,5.87576545490239,58.7194054272413,Hypothetical Protein
